16,9,0.2,4
0,0,3.548233
0,1,0
0,2,0
0,3,2.027062
0,4,0
0,5,0
0,6,1.102026
0,7,0
0,8,1.924281
1,0,0
1,1,0
1,2,2.684866
1,3,0
1,4,0
1,5,2.910986
1,6,0
1,7,0
1,8,0
2,0,0
2,1,3.013767
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,2
2,8,2.417633
3,0,1.677604
3,1,0
3,2,0
3,3,0
3,4,2.047619
3,5,0
3,6,2.623197
3,7,0
3,8,0
4,0,0
4,1,3.466007
4,2,1.615935
4,3,0
4,4,0
4,5,4
4,6,0
4,7,2.540971
4,8,3.712684
5,0,0
5,1,0
5,2,0
5,3,4
5,4,0
5,5,0
5,6,0
5,7,1.615935
5,8,0
6,0,0
6,1,1.924281
6,2,0
6,3,0.7525683
6,4,0
6,5,3.363226
6,6,0
6,7,0
6,8,1.718717
7,0,3.651015
7,1,0
7,2,0
7,3,2.520415
7,4,0
7,5,0
7,6,1.143139
7,7,0
7,8,0
8,0,0
8,1,0
8,2,2.355964
8,3,0
8,4,4
8,5,0
8,6,2.499859
8,7,0
8,8,0.732012
9,0,0
9,1,0
9,2,0
9,3,2.355964
9,4,0
9,5,1.492597
9,6,0
9,7,0
9,8,3.527677
10,0,2.170957
10,1,0
10,2,0
10,3,1.98595
10,4,1.75983
10,5,0
10,6,2.170957
10,7,2.355964
10,8,0
11,0,0
11,1,2.088732
11,2,0
11,3,0
11,4,3.712684
11,5,0
11,6,2.890429
11,7,0
11,8,0
12,0,0
12,1,2.62923
12,2,0
12,3,0
12,4,0
12,5,2.417633
12,6,0
12,7,0
12,8,2.993211
13,0,0
13,1,0
13,2,1.615935
13,3,0
13,4,0
13,5,2.170957
13,6,0
13,7,0
13,8,0
14,0,0
14,1,1.30759
14,2,0
14,3,2.006506
14,4,0
14,5,0
14,6,2.582084
14,7,0
14,8,0
15,0,4
15,1,0
15,2,0
15,3,1.595379
15,4,0
15,5,0
15,6,0
15,7,2.4
15,8,0
